Year,FTAs in India,Percentage (%) change over previous year,NRIs arrivals in India (in million),ercentage (%) change over the previous year,International Tourist Arrivals in India  (in million),Percentage (%) change over the previous year
1981,1280000,2,NA,NA,NA,NA
1991,1680000,-1.7,NA,NA,NA,NA
2001,2540000,-4.2,NA,NA,NA,NA
2002,2380000,-6,NA,NA,NA,NA
2003,2730000,14.3,NA,NA,NA,NA
2004,3460000,26.8,NA,NA,NA,NA
2005,3920000,13.3,NA,NA,NA,NA
2006,4450000,13.5,NA,NA,NA,NA
2007,5080000,14.3,NA,NA,NA,NA
2008,5280000,4,NA,NA,NA,NA
2009,5170000,-2.2,NA,NA,NA,NA
2010,5780000,11.8,NA,NA,NA,NA
2011,6310000,9.2,NA,NA,NA,NA
2012,6580000,4.3,NA,NA,NA,NA
2013,6970000,5.9,NA,NA,NA,NA
2014,7680000,10.2,5.43,NA,13.11,NA
2015,8030000,4.5,5.74,5.7,13.76,5
2016,8800000,9.7,6.22,8.5,15.03,9.2
2017,10040000,14,6.77,8.8,16.81,11.8
2018,10560000,5.2,6.87,1.4,17.42,3.7
2019,10930000,3.5,6.98,1.7,17.91,2.8
2020,2740000,-74.9,3.59,-48.6,6.33,-64.7
