Year,FTAs,0-14,15-24,25-34,35-44,45-54,55-64,65 and above
2001,2537282,8,10.8,21.1,22.1,19.4,11.9,6.7
2002,2384364,9.4,10,19.4,21.6,19.4,12.3,7.9
2003,2726214,8.5,10,19.5,21.6,19.4,12.8,8.2
2004,3457477,8.6,9.8,18.8,21.3,19.4,12.9,8.2
2005,3918610,8.9,9.6,18.8,21.3,19.5,13.2,8.7
2006,4447167,9.6,9.3,18.3,21.7,19.6,13.7,7.8
2007,5081504,9.4,8.7,18,21.5,19.6,14.3,8.5
2008,5282603,9.5,8.1,19,20.7,19.5,14.5,8.8
2009,5167699,9.6,8,17.9,20.9,19.7,14.7,9.2
2010,5775692,10,8.3,17.4,21.1,19.9,13.8,9.5
2011,6309222,10.5,7.9,16.6,21.2,19.7,13.7,10.5
2012,6577745,11,8,16.5,21,19.8,13.9,9.9
2013,6967601,9.5,8.7,19.1,21,20,14,7.7
2014,7679099,9.2,8.5,18.9,21,20.1,14,8.3
2015,8027133,9.4,8.5,19.2,21.2,20,13.8,7.9
2016,8804411,9.5,8.5,19.2,21.1,19.9,13.8,8.1
2017,10035803,9.4,8.5,19.1,21.1,19.9,13.8,8.2
2018,10557976,9.3,8.4,18.6,21,19.8,14.2,8.7
2019,10930355,9.2,8.3,18.6,21.3,19.8,14.1,8.8
