Year,World - Number (in million),Tourism % Share in India,Rank of India
2001,683.4,0.37,51st
2002,703.2,0.34,54th
2003,691,0.4,51st
2004,762,0.45,44th
2005,803.4,0.49,43rd
2006,846.6,0.53,44th
2007,894,0.57,41st
2008,917,0.58,41st
2009,883,0.59,41st
2010,948,0.61,42nd
2011,994,0.63,38th
2012,1039,0.63,41st
2013,1087,0.64,41st
2014,1137,1.15,24th
2015,1195,1.15,24th
2016,1241,1.21,26th
2017,1332,1.26,26th
2018,1407,1.24,22nd
2019,1459,1.23,23rd
2020,400,1.58,34th
2021,415,1.23,39th
